Property.URL,Building.Class,Building.Size,Corridor,Lot.Size,No of Rooms,No..Stories,Parking.Ratio,Price,Price.Per.Room,Property.Subtype,Property Type,Property URL ,Sale.Type,Year.Built,Year.Built.Renovated,Building.Size.SF,Price.Numeric,Price.per.SF,Latitude,Longitude
200-E-19th-St-Roswell-NM30783943,B,"40,875 SF",Interior,2.03 AC,75,3,,"$7,111,107 ","$94,815 ",Hotel,Hospitality,https://www.loopnet.com/Listing/200-E-19th-St-Roswell-NM/30783943/,Investment,NA,2005/2022,40875,7111107,173.97,-104.519422,33.4154931
112-McArthur-St-Grants-NM30960991,C,"9,000 SF",Exterior,0.84 AC,24,1,"3/1,000 SF","$629,999 ","$26,250 ",Hotel,Hospitality,https://www.loopnet.com/Listing/112-McArthur-St-Grants-NM/30960991/,Investment,1932,,9000,629999,70,-107.838649,35.1459062
1020-S-White-Sands-Blvd-Alamogordo-NM30119176,C,"39,305 SF",Exterior,2.43 AC,90,2,,"$5,500,000 ","$61,111 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1020-S-White-Sands-Blvd-Alamogordo-NM/30119176/,Investment,1987,,39305,5500000,139.93,-105.960964,32.879371
715-Highway-64-E-Eagle-Nest-NM27709137,C,"13,000 SF",Exterior,1.50 AC,32,2,"2.77/1,000 SF","$1,400,000 ","$43,750 ",Hotel,Hospitality,https://www.loopnet.com/Listing/715-Highway-64-E-Eagle-Nest-NM/27709137/,Investment,1989,,13000,1400000,107.69,-105.2563719,36.5528363
2500-N-White-Sands-Blvd-Alamogordo-NM29617672,C,"18,700 SF",Exterior,0.97 AC,58,2,"3.53/1,000 SF","$3,249,500 ","$56,026 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2500-N-White-Sands-Blvd-Alamogordo-NM/29617672/,Investment,1960,,18700,3249500,173.77,-105.9600273,32.9204049
153-San-Pedro-Dr-Alamogordo-NM28721157,C,"6,200 SF",Exterior,5.00 AC,3,2,"2.42/1,000 SF","$824,900 ","$274,967 ",Bed and BreakfastHospitality Hotel,Hospitality,https://www.loopnet.com/Listing/153-San-Pedro-Dr-Alamogordo-NM/28721157/,Investment,NA,1989/2019,6200,824900,133.05,-105.955162,32.8294736
25980-US-Highway-70-Ruidoso-NM28170630,C,"34,000 SF",Interior,4.82 AC,68,2,"4.41/1,000 SF","$5,750,000 ","$84,559 ",Hotel,Hospitality,https://www.loopnet.com/Listing/25980-US-Highway-70-Ruidoso-NM/28170630/,Investment,1978,,34000,5750000,169.12,-105.6426825,33.3094653
1408-Main-St-Lordsburg-NM28488122,B,"15,812 SF",Exterior,2.27 AC,40,2,"4.74/1,000 SF","$1,450,000 ","$36,250 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1408-Main-St-Lordsburg-NM/28488122/,Investment,NA,1998/2004,15812,1450000,91.7,-108.7144815,32.3401016
124-Kearney-Ave-Seaside-Heights-NJ24678784,C,"5,280 SF",Exterior,0.19 AC,24,2,"1.52/1,000 SF","$1,790,000 ","$74,583 ",Hotel,Hospitality,https://www.loopnet.com/Listing/124-Kearney-Ave-Seaside-Heights-NJ/24678784/,Investment,1960,,5280,1790000,339.02,-74.0739123,39.9464838
617-E-8th-St-Ocean-City-NJ29794931,C,"17,254 SF",Interior,0.29 AC,36,4,"1.62/1,000 SF","$4,250,000 ","$118,056 ",Hotel,Hospitality,https://www.loopnet.com/Listing/617-E-8th-St-Ocean-City-NJ/29794931/,Investment,NA,1896/2023,17254,4250000,246.32,-74.5726338,39.2783932
4109-Ocean-Ave-Wildwood-NJ29772070,C,"8,426 SF",Exterior,0.16 AC,22,3,"1.57/1,000 SF","$3,295,000 ","$149,773 ",Hotel,Hospitality,https://www.loopnet.com/Listing/4109-Ocean-Ave-Wildwood-NJ/29772070/,Investment,1972,,8426,3295000,391.05,-74.8153685,38.9839434
930-White-Horse-Pike-Absecon-NJ27180419,C,"6,783 SF",Exterior,1.08 AC,38,1,"4.42/1,000 SF","$1,950,000 ","$51,316 ",Hotel,Hospitality,https://www.loopnet.com/Listing/930-White-Horse-Pike-Absecon-NJ/27180419/,Investment,1977,,6783,1950000,287.48,-74.5156814,39.4345499
65-Hiering-Ave-Seaside-Heights-NJ29251662,C,"13,421 SF",Exterior,0.33 AC,20,2,"1.49/1,000 SF","$2,250,000 ","$112,500 ",Hotel,Hospitality,https://www.loopnet.com/Listing/65-Hiering-Ave-Seaside-Heights-NJ/29251662/,Investment,1976,,13421,2250000,167.65,-74.0719619,39.947873
427-E-Miami-Ave-Wildwood-Crest-NJ30713810,C,,,0.59 AC,NA,NA,,"$549,900 ",,Hotel,Hospitality (Condo),https://www.loopnet.com/Listing/427-E-Miami-Ave-Wildwood-Crest-NJ/30713810/,Investment or Owner User,1971,,NA,549900,NA,-74.8393218,38.9651401
1271-US-Highway-22-Bridgewater-NJ29693429,C,"32,000 SF",Exterior,5.14 AC,112,2,"2.94/1,000 SF","$6,000,000 ","$53,571 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1271-US-Highway-22-Bridgewater-NJ/29693429/,Investment,NA,1950/1998,32000,6.00E+06,187.5,-74.5804248,40.5787251
1211-Boulevard-Seaside-Heights-NJ29995326,C,"19,188 SF",Exterior,0.26 AC,21,3,"0.83/1,000 SF","$2,299,900 ","$109,519 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1211-Boulevard-Seaside-Heights-NJ/29995326/,Investment,1985,,19188,2299900,119.86,-74.0733001,39.9458407
1290-Route-130-Windsor-NJ30343095,C,"8,000 SF",Exterior,1.70 AC,20,1,"3.71/1,000 SF","$4,500,000 ","$225,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1290-Route-130-Windsor-NJ/30343095/,Investment,1960,,8000,4500000,562.5,-74.5824269,40.2393631
1601-Ocean-Ave-Point-Pleasant-Beach-NJ27274122,C,"9,064 SF",Exterior,0.34 AC,25,2,"2.54/1,000 SF","$4,250,000 ","$170,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1601-Ocean-Ave-Point-Pleasant-Beach-NJ/27274122/,Investment,NA,1975/2013,9064,4250000,468.89,-74.0414607,40.0802465
1108-Route-35-Ocean-NJ24839874,C,"8,511 SF",Exterior,1.45 AC,27,1,"3.88/1,000 SF","$3,000,000 ","$111,111 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1108-Route-35-Ocean-NJ/24839874/,Investment,1984,,8511,3.00E+06,352.49,-74.038022,40.2408372
600-E-Central-Ave-Seaside-Heights-NJ27596157,C,"6,824 SF",Exterior,0.17 AC,24,2,,"$2,125,000 ","$88,542 ",Hotel,Hospitality,https://www.loopnet.com/Listing/600-E-Central-Ave-Seaside-Heights-NJ/27596157/,Investment,NA,1950/2022,6824,2125000,311.4,-74.0757635,39.9417056
601-Atlantic-Ave-Ocean-City-NJ30164371,B,"9,000 SF",Interior,0.11 AC,15,4,,"$4,000,000 ","$266,667 ",Hotel,Hospitality,https://www.loopnet.com/Listing/601-Atlantic-Ave-Ocean-City-NJ/30164371/,Investment,NA,1879/2003,9000,4.00E+06,444.44,-75.082382,38.337105
1402-Boulevard-Seaside-Heights-NJ29995114,C,"9,261 SF",Interior,0.17 AC,21,3,"2.37/1,000 SF","$1,999,900 ","$95,233 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1402-Boulevard-Seaside-Heights-NJ/29995114/,Investment,1930,,9261,1999900,215.95,-74.0725585,39.9469785
1408-Pacific-Ave-Atlantic-City-NJ28102121,F,"54,972 SF",Interior,0.23 AC,99,5,,"$3,500,000 ","$35,354 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1408-Pacific-Ave-Atlantic-City-NJ/28102121/,Investment,1927,,54972,3500000,63.67,-74.4273152,39.3600789
55-DuPont-Ave-18-Seaside-Heights-NJ29995166,C,"6,480 SF",Exterior,0.22 AC,26,3,"1.08/1,000 SF","$2,199,900 ","$84,612 ",Hotel,Hospitality,https://www.loopnet.com/Listing/55-DuPont-Ave-18-Seaside-Heights-NJ/29995166/,Investment,1980,,6480,2199900,339.49,-74.0737747,39.9376198
225-E-Schellenger-Ave-Wildwood-NJ30971052,B,"22,268 SF",Exterior,0.62 AC,40,4,"2.25/1,000 SF","$6,400,000 ","$160,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/225-E-Schellenger-Ave-Wildwood-NJ/30971052/,Investment,1970,,22268,6400000,287.41,-74.8132892,38.9885066
1000-International-Dr-Budd-Lake-NJ30839288,B,"170,150 SF",Interior,10.09 AC,141,5,"1.47/1,000 SF","$14,384,000 ","$102,014 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1000-International-Dr-Budd-Lake-NJ/30839288/,Investment,1986,,170150,14384000,84.54,-74.7245257,40.9083019
3304-State-Route-66-Neptune-NJ27046927,C,"5,657 SF",Exterior,2.22 AC,25,1,"5.62/1,000 SF","$3,000,000 ","$120,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/3304-State-Route-66-Neptune-NJ/27046927/,Investment,1952,,5657,3.00E+06,530.32,-74.0637242,40.2286869
1415-Boulevard-Seaside-Heights-NJ30140840,C,"66,012 SF",Exterior,1.81 AC,110,3,"1.68/1,000 SF","$22,000,000 ","$200,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1415-Boulevard-Seaside-Heights-NJ/30140840/,Investment,1960,,66012,2.20E+07,333.27,-74.0733846,39.9474076
215-N-Church-St-Rocky-Mount-NC30556619,B,"46,400 SF",Exterior,1.82 AC,64,2,"2.07/1,000 SF","$1,350,000 ","$21,094 ",Hotel,Hospitality,https://www.loopnet.com/Listing/215-N-Church-St-Rocky-Mount-NC/30556619/,Investment,NA,1961/2024,46400,1350000,29.09,-77.7957011,35.9449026
676-Main-St-Chimney-Rock-NC30085716,C,"4,020 SF",Exterior,0.71 AC,12,2,"3.73/1,000 SF","$1,500,000 ","$125,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/676-Main-St-Chimney-Rock-NC/30085716/,Investment,NA,1953/2023,4020,1500000,373.13,-82.256223,35.441653
38-N-French-Broad-Ave-Asheville-NC31048300,,"14,653 SF",,,108,7,,,,Hotel,Hospitality,https://www.loopnet.com/Listing/38-N-French-Broad-Ave-Asheville-NC/31048300/,Investment,NA,,14653,NA,NA,-82.5592001,35.5945219
315-E-Main-St-Brevard-NC29453226,B,"10,000 SF",Interior,0.91 AC,16,2,"2.3/1,000 SF","$2,600,000 ","$162,500 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/315-E-Main-St-Brevard-NC/29453226/,Investment or Owner User,NA,1885/2000,10000,2600000,260,-82.7292771,35.2314718
924-Greenville-Hwy-Hendersonville-NC30725703,C,"4,391 SF",Exterior,0.61 AC,16,1,"3.19/1,000 SF","$825,000 ","$51,563 ",,Hospitality,https://www.loopnet.com/Listing/924-Greenville-Hwy-Hendersonville-NC/30725703/,Investment,1960,,4391,825000,187.88,-82.4550927,35.3016225
3501-E-Independence-Blvd-Charlotte-NC30042911,B,"77,537 SF",Exterior,4.31 AC,178,2,"1.55/1,000 SF","$18,000,000 ","$101,124 ",Hotel,Hospitality,https://www.loopnet.com/Listing/3501-E-Independence-Blvd-Charlotte-NC/30042911/,Investment,NA,1967/2023,77537,1.80E+07,232.15,-80.7840025,35.2027076
701-N-Lake-Park-Blvd-Carolina-Beach-NC29796567,C,"26,175 SF",Exterior,1.80 AC,61,3,"1.91/1,000 SF","$13,500,000 ","$221,311 ",Hotel,Hospitality,https://www.loopnet.com/Listing/701-N-Lake-Park-Blvd-Carolina-Beach-NC/29796567/,Investment,NA,1937/2013,26175,13500000,515.76,-77.8951396,34.0394421
125-Tee-Pee-Dr-Whittier-NC26847170,C,"18,303 SF",Exterior,6.35 AC,27,1,"3.28/1,000 SF","$4,998,500 ","$185,130 ",Hotel,Hospitality,https://www.loopnet.com/Listing/125-Tee-Pee-Dr-Whittier-NC/26847170/,Investment,1964,,18303,4998500,273.1,-83.3169324,35.4604999
240-Mitchelle-Dr-Hendersonville-NC30789104,C,"22,392 SF",Interior,3.76 AC,49,2,"2.19/1,000 SF","$8,000,000 ","$163,265 ",Hotel,Hospitality,https://www.loopnet.com/Listing/240-Mitchelle-Dr-Hendersonville-NC/30789104/,Investment,2002,,22392,8.00E+06,357.27,-82.4392637,35.3374655
101-Folkestone-Rd-Bryson-City-NC28939894,B,"4,659 SF",Interior,2.54 AC,10,3,,"$900,000 ","$90,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/101-Folkestone-Rd-Bryson-City-NC/28939894/,Investment,1932,,4659,9.00E+05,193.17,-83.4447212,35.4542106
86-Lily-Pad-Ln-Flat-Rock-NC29555357,B,"48,750 SF",Interior,26.00 AC,65,2,"2.22/1,000 SF","$6,800,000 ","$104,615 ",Hotel,Hospitality,https://www.loopnet.com/Listing/86-Lily-Pad-Ln-Flat-Rock-NC/29555357/,Investment,NA,1912/1960,48750,6800000,139.49,-82.4327449,35.2833374
2848-Bragg-Blvd-Fayetteville-NC30838226,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/2848-Bragg-Blvd-Fayetteville-NC/30838226/,,NA,,NA,NA,NA,-78.9271577,35.0745398
97-Nc-96-Hwy-Four-Oaks-NC29749354,C,"24,294 SF",Exterior,5.97 AC,52,1,"3.7/1,000 SF","$3,200,000 ","$61,538 ",Hotel,Hospitality,https://www.loopnet.com/Listing/97-Nc-96-Hwy-Four-Oaks-NC/29749354/,Investment,1959,,24294,3200000,131.72,-78.390844,35.4543814
159-Osceola-Rd-Hendersonville-NC30403463,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/159-Osceola-Rd-Hendersonville-NC/30403463/,,NA,,NA,NA,NA,-82.4738584,35.2990621
1406-Heartland-Dr-Kernersville-NC30937716,C,"42,342 SF",Interior,2.20 AC,104,2,"2.44/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/1406-Heartland-Dr-Kernersville-NC/30937716/,Investment,1995,,42342,NA,NA,-80.061918,36.08693
288-Montford-Ave-Asheville-NC30495242,C,"5,599 SF",Interior,0.60 AC,9,2,"1.61/1,000 SF","$2,550,000 ","$283,333 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/288-Montford-Ave-Asheville-NC/30495242/,Investment,1895,,5599,2550000,455.44,-82.5664218,35.6042407
204-N-Mendenhall-St-Greensboro-NC30809714,B,"6,700 SF",Interior,0.54 AC,6,3,,"$1,600,000 ","$266,667 ",Bed and BreakfastHospitality Hotel,Hospitality,https://www.loopnet.com/Listing/204-N-Mendenhall-St-Greensboro-NC/30809714/,Investment,NA,1910/2016,6700,1600000,238.81,-79.8022729,36.0744962
100-Orchard-Inn-Ln-Saluda-NC27670096,B,"2,922 SF",Interior,10.79 AC,14,2,"13.69/1,000 SF","$5,500,000 ","$392,857 ",Hotel,Hospitality,https://www.loopnet.com/Listing/100-Orchard-Inn-Ln-Saluda-NC/27670096/,Investment,1902,,2922,5500000,1882.27,-82.3348886,35.2293061
205-Irvin-Garrish-Hwy-Ocracoke-NC29381246,C,"13,800 SF",Exterior,0.75 AC,35,5,,"$5,500,000 ","$157,143 ",Hotel,Hospitality,https://www.loopnet.com/Listing/205-Irvin-Garrish-Hwy-Ocracoke-NC/29381246/,Investment,1987,,13800,5500000,398.55,-75.9838319,35.1149814
213-Cape-Fear-Blvd-Carolina-Beach-NC27965965,C,"5,456 SF",Exterior,0.57 AC,18,2,"2.93/1,000 SF","$4,850,000 ","$269,444 ",Hotel,Hospitality,https://www.loopnet.com/Listing/213-Cape-Fear-Blvd-Carolina-Beach-NC/27965965/,Investment,NA,1895/1960,5456,4850000,888.93,-77.8956053,34.0335852
346-Weaverville-Rd-Asheville-NC30810122,C,"2,056 SF",Exterior,4.32 AC,15,1,"9.73/1,000 SF","$3,160,000 ","$210,667 ",Hotel,Hospitality,https://www.loopnet.com/Listing/346-Weaverville-Rd-Asheville-NC/30810122/,Investment,1929,,2056,3160000,1536.96,-82.583002,35.6616216
36-Broadway-St-Asheville-NC25901424,B,"15,614 SF",Interior,0.16 AC,14,3,,,,Hotel,Hospitality,https://www.loopnet.com/Listing/36-Broadway-St-Asheville-NC/25901424/,Investment,NA,1907/2014,15614,NA,NA,-82.5519931,35.5964946
20-Us-19-Hwy-Cherokee-NC27878195,C,"22,135 SF",Interior,0.95 AC,45,2,"1.94/1,000 SF","$3,750,000 ","$83,333 ",Hotel,Hospitality,https://www.loopnet.com/Listing/20-Us-19-Hwy-Cherokee-NC/27878195/,Investment,2021,,22135,3750000,169.41,-83.3206921,35.4762169
4102-Soco-Rd-Maggie-Valley-NC30506192,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/4102-Soco-Rd-Maggie-Valley-NC/30506192/,,NA,,NA,NA,NA,-83.0972182,35.5182518
903-Park-St-W-Park-River-ND22902778,C,"10,000 SF",Interior,0.34 AC,20,1,"3/1,000 SF","$500,000 ","$25,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/903-Park-St-W-Park-River-ND/22902778/,Investment,1976,,10000,5.00E+05,50,-97.7318657,48.3982227
301-S-Main-St-Noonan-ND30358602,B,"11,582 SF",Exterior,0.80 AC,35,1,,"$160,000 ","$4,571 ",Hotel,Hospitality,https://www.loopnet.com/Listing/301-S-Main-St-Noonan-ND/30358602/,Investment,NA,1960/2012,11582,160000,13.81,-89.0963131,42.269482
900-37th-Ave-SW-Minot-ND29618639,B,"48,320 SF",Interior,2.07 AC,80,4,"1.55/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/900-37th-Ave-SW-Minot-ND/29618639/,Investment,2010,,48320,NA,NA,-101.3053764,48.1973608
1340-21st-Ave-S-Fargo-ND28215564,B,"57,702 SF",Interior,4.95 AC,112,4,,"$3,200,000 ","$28,571 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1340-21st-Ave-S-Fargo-ND/28215564/,Investment,NA,1960/2022,57702,3200000,55.46,-96.8004683,46.8463963
Economy-Hotel-Portfolio-North-Dakota30976828,,,,,NA,NA,,"$1,600,000 ",,,,https://www.loopnet.com/Listing/Economy-Hotel-Portfolio-North-Dakota/30976828/,Investment,NA,,NA,1600000,NA,-101.0020119,47.5514926
1937-N-Broadway-Minot-ND29098152,B,"42,474 SF",Interior,1.39 AC,103,2,"2.35/1,000 SF","$1,500,000 ","$14,563 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1937-N-Broadway-Minot-ND/29098152/,Investment,1981,,42474,1500000,35.32,-101.2972963,48.2560526
201-5th-St-N-Fargo-ND31115532,B,,,0.20 AC,NA,NA,,,,Hotel,Hospitality (Condo),https://www.loopnet.com/Listing/201-5th-St-N-Fargo-ND/31115532/,Owner User,1984,,NA,NA,NA,-96.7858606,46.8783008
825-Main-Ave-E-West-Fargo-ND30629611,C,"15,238 SF",Interior,0.86 AC,41,2,"2.17/1,000 SF","$1,450,000 ","$35,366 ",Hotel,Hospitality,https://www.loopnet.com/Listing/825-Main-Ave-E-West-Fargo-ND/30629611/,Investment,1976,,15238,1450000,95.16,-96.8839438,46.876126
132-Main-Tannersville-NY30380770,C,"8,500 SF",Interior,2.38 AC,16,3,"1.88/1,000 SF","$1,200,000 ","$75,000 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/132-Main-Tannersville-NY/30380770/,Investment,1930,,8500,1200000,141.18,-75.3057288,41.0398099
345-E-Main-St-Ilion-NY28378817,C,"9,478 SF",Exterior,3.50 AC,31,2,"8.44/1,000 SF","$1,500,000 ","$48,387 ",Hotel,Hospitality,https://www.loopnet.com/Listing/345-E-Main-St-Ilion-NY/28378817/,Investment,NA,1968/2021,9478,1500000,158.26,-75.0215483,43.0103782
2747-State-Route-28-Thendara-NY30834580,C,"10,270 SF",Exterior,2.40 AC,27,1,,"$1,295,000 ","$47,963 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2747-State-Route-28-Thendara-NY/30834580/,Investment,1955,,10270,1295000,126.1,-74.9942523,43.7020138
760-Main-St-Hobart-NY30664753,B,"3,571 SF",Interior,1.00 AC,5,2,"0.84/1,000 SF","$995,000 ","$199,000 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/760-Main-St-Hobart-NY/30664753/,Investment,NA,1890/2015,3571,995000,278.63,-87.25154,41.5267134
5675-NYS-Route-86-Wilmington-NY26939168,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/5675-NYS-Route-86-Wilmington-NY/26939168/,,NA,,NA,NA,NA,-73.8233889,44.3892339
3290-Us-9-Saratoga-Springs-NY29939939,C,"8,528 SF",Exterior,1.60 AC,14,1,"3.05/1,000 SF","$1,800,000 ","$128,571 ",Hotel,Hospitality,https://www.loopnet.com/Listing/3290-Us-9-Saratoga-Springs-NY/29939939/,Investment,1958,,8528,1800000,211.07,-73.7901179,43.0434453
6605-Old-Collamer-Rd-East-Syracuse-NY30359934,B,"47,472 SF",Interior,4.16 AC,109,4,"1.69/1,000 SF","$6,800,000 ","$62,385 ",Hotel,Hospitality,https://www.loopnet.com/Listing/6605-Old-Collamer-Rd-East-Syracuse-NY/30359934/,Investment,NA,1984/2017,47472,6800000,143.24,-76.0859133,43.0902018
5868-US-209-Hwy-Kerhonkson-NY30935475,C,"3,024 SF",,5.80 AC,NA,3,,"$979,000 ",,,Specialty,https://www.loopnet.com/Listing/5868-US-209-Hwy-Kerhonkson-NY/30935475/,Investment,NA,1790/2022,3024,979000,323.74,-74.2680691,41.7882288
439-Canada-St-Lake-George-NY30616067,C,"9,156 SF",Exterior,1.02 AC,50,3,"5.24/1,000 SF","$2,495,000 ","$49,900 ",Hotel,Hospitality,https://www.loopnet.com/Listing/439-Canada-St-Lake-George-NY/30616067/,Investment,NA,1993/2022,9156,2495000,272.5,-73.7131227,43.4312071
7518-US-Hwy-11-Potsdam-NY29824504,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/7518-US-Hwy-11-Potsdam-NY/29824504/,,NA,,NA,NA,NA,-95.712891,37.09024
214-County-Road-152-Northville-NY30168954,B,"4,050 SF",Exterior,0.35 AC,12,2,"4.94/1,000 SF","$1,198,000 ","$99,833 ",Hotel,Hospitality,https://www.loopnet.com/Listing/214-County-Road-152-Northville-NY/30168954/,Investment,NA,1956/2022,4050,1198000,295.8,-74.1831476,43.2166235
400-7th-North-St-Liverpool-NY30874921,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/400-7th-North-St-Liverpool-NY/30874921/,,NA,,NA,NA,NA,-76.1691921,43.0908871
Fire-Island-Pines-Resort31060049,,,,,NA,NA,,"$17,250,000 ",,,,https://www.loopnet.com/Listing/Fire-Island-Pines-Resort/31060049/,Investment,NA,,NA,17250000,NA,-73.0693043,40.6653185
4607-NY-28-Milford-NY30828693,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/4607-NY-28-Milford-NY/30828693/,,NA,,NA,NA,NA,-74.9652161,42.6428549
304-S-Hamilton-St-Painted-Post-NY30444112,B,"29,324 SF",Interior,3.34 AC,45,2,"6.92/1,000 SF","$6,200,000 ","$137,778 ",Hotel,Hospitality,https://www.loopnet.com/Listing/304-S-Hamilton-St-Painted-Post-NY/30444112/,Investment,NA,1971/2023,29324,6200000,211.43,-77.1092784,42.1482857
39-E-Washington-St-Ellicottville-NY28816378,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/39-E-Washington-St-Ellicottville-NY/28816378/,,NA,,NA,NA,NA,-78.6665334,42.279166
435-Main-Street-Rosendale-NY30358147,B,"6,451 SF",Interior,1.03 AC,12,3,"3.1/1,000 SF","$1,895,000 ","$157,917 ",Hotel,Hospitality,https://www.loopnet.com/Listing/435-Main-Street-Rosendale-NY/30358147/,Investment,1850,,6451,1895000,293.75,-74.0833788,41.8437816
301-Oak-St-Batavia-NY30130349,C,"13,744 SF",Interior,0.70 AC,20,2,"1.46/1,000 SF","$1,200,000 ","$60,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/301-Oak-St-Batavia-NY/30130349/,Investment,1970,,13744,1200000,87.31,-78.1926452,43.0164463
100-Whitehaven-Rd-Grand-Island-NY30755492,B,"196,868 SF",Interior,10.00 AC,263,7,"3.04/1,000 SF","$10,250,000 ","$38,973 ",Hotel,Hospitality,https://www.loopnet.com/Listing/100-Whitehaven-Rd-Grand-Island-NY/30755492/,Investment,NA,1972/2026,196868,10250000,52.07,-78.896082,43.0216299
1025-Beach-21st-St-Far-Rockaway-NY29168154,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/1025-Beach-21st-St-Far-Rockaway-NY/29168154/,,NA,,NA,NA,NA,-73.7542471,40.6030758
2549-State-Highway-28-Oneonta-NY30521176,C,"3,742 SF",,13.00 AC,NA,2,"12.29/1,000 SF","$899,000 ",,Specialty,Specialty,https://www.loopnet.com/Listing/2549-State-Highway-28-Oneonta-NY/30521176/,Investment,NA,1826/2010,3742,899000,240.25,-74.990509,42.5226616
126-State-St-Clayton-NY29232714,C,"5,044 SF",Exterior,1.80 AC,9,1,"9.12/1,000 SF","$1,875,000 ","$208,333 ",HotelGeneral Retail Bar,Hospitality,https://www.loopnet.com/Listing/126-State-St-Clayton-NY/29232714/,Investment,1940,,5044,1875000,371.73,-76.0750682,44.2389487
175-S-Main-St-Ellenville-NY30304726,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/175-S-Main-St-Ellenville-NY/30304726/,,NA,,NA,NA,NA,-74.4022943,41.7124822
Broadway-Manhattan-NY18706174,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/Broadway-Manhattan-NY/18706174/,,NA,,NA,NA,NA,-73.9715266,40.7948343
972-S-Route-9W-Congers-NY30735044,C,"26,466 SF",Exterior,0.59 AC,20,2,"0.83/1,000 SF","$2,500,000 ","$125,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/972-S-Route-9W-Congers-NY/30735044/,Investment,NA,1982/2016,26466,2500000,94.46,-73.9282207,41.1470803
750-Morse-Rd-Columbus-OH30318687,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/750-Morse-Rd-Columbus-OH/30318687/,,NA,,NA,NA,NA,-82.9992554,40.0631722
16187-Kreashbaum-Rd-Rockbridge-OH30699250,,"10,617 SF",Interior,33.62 AC,NA,3,"0.38/1,000 SF","$3,095,000 ",,,Specialty,https://www.loopnet.com/Listing/16187-Kreashbaum-Rd-Rockbridge-OH/30699250/,Investment,NA,2003/2021,10617,3095000,291.51,-82.544439,39.498617
1601-State-Route-4-Bucyrus-OH30844446,B,"20,043 SF",Interior,7.64 AC,12,2,"6.26/1,000 SF","$1,495,000 ","$124,583 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/1601-State-Route-4-Bucyrus-OH/30844446/,Investment,NA,1938/1990,20043,1495000,74.59,-83.0131627,40.7606085
41371-Reco-Rd-Belmont-OH29555210,C,"35,274 SF",Interior,1.72 AC,63,4,"2.15/1,000 SF","$4,300,000 ","$68,254 ",Hotel,Hospitality,https://www.loopnet.com/Listing/41371-Reco-Rd-Belmont-OH/29555210/,Investment,NA,2014/2023,35274,4300000,121.9,-81.0389883,40.0292374
4400-Belmont-Ave-Youngstown-OH30306237,B,"26,812 SF",Interior,3.47 AC,66,3,"2.8/1,000 SF","$8,900,000 ","$134,848 ",Hotel,Hospitality,https://www.loopnet.com/Listing/4400-Belmont-Ave-Youngstown-OH/30306237/,Investment,2001,,26812,8900000,331.94,-80.6655508,41.1605299
5783-Heisley-Rd-Mentor-OH28224324,B,"140,000 SF",Interior,7.64 AC,83,3,"1.49/1,000 SF","$7,900,000 ","$95,181 ",Hotel,Hospitality,https://www.loopnet.com/Listing/5783-Heisley-Rd-Mentor-OH/28224324/,Investment,NA,1989/2004,140000,7900000,56.43,-81.2986362,41.7136599
